clip_name,start_time,end_time,label
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_1,0.0,20.0,0
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_2,20.0,21.24,2
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_3,21.24,38.55,2
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_4,38.55,85.39,2
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_5,85.4,90.39,2
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_6,204.47,211.03,2
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_7,211.03,232.84,2
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_8,232.84,242.47,2
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_9,242.47,290.73,2
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_10,290.73,299.713,2
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_11,299.713,302.15,2
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_12,302.198,309.377,2
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_13,309.547,317.765,2
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_14,317.856,331.15,2
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_15,331.15,337.09,2
20220104_Das_Zahlenchaos_muss_so_schnell_HJYEKTUC0TU_16,337.09,338.666,2
20220106_Impfpflicht_wackelt_Man_muss_ständig_GSTg37aDd-E_17,0.84,13.63,0
20220106_Impfpflicht_wackelt_Man_muss_ständig_GSTg37aDd-E_18,13.63,22.069,0
20220106_Impfpflicht_wackelt_Man_muss_ständig_GSTg37aDd-E_19,22.17,41.81,2
20220106_Impfpflicht_wackelt_Man_muss_ständig_GSTg37aDd-E_20,41.81,42.9,2
20220106_Impfpflicht_wackelt_Man_muss_ständig_GSTg37aDd-E_21,42.91,72.93,2
20220106_Impfpflicht_wackelt_Man_muss_ständig_GSTg37aDd-E_22,88.6,144.615,3
20220106_Impfpflicht_wackelt_Man_muss_ständig_GSTg37aDd-E_23,144.615,146.69,3
20220114_Omikron_In_vier_Wochen_hatte_PIA-koNrP1M_24,0.0,118.4,0
20220107_Wegen_Corona_und_Lockdowns_Dreimal_TNdDp97ha-I_25,0.06,32.627,0
20220107_Wegen_Corona_und_Lockdowns_Dreimal_TNdDp97ha-I_26,65.799,99.99,3
20220107_Wegen_Corona_und_Lockdowns_Dreimal_TNdDp97ha-I_27,100.01,103.46,3
20220113_Corona_Geht_s_so_weiter_hn1Z-HBReWg_28,0.02,50.22,0
20220113_Corona_Geht_s_so_weiter_hn1Z-HBReWg_29,50.22,55.91,3
20220118_Corona_Irrsinn_in_der_Bundesliga_W8ro_Fux7ic_30,0.0,20.58,0
20220118_Corona_Irrsinn_in_der_Bundesliga_W8ro_Fux7ic_31,20.58,67.94,3
20220104_Schluss_mit_dem_Corona_Lockdown_1odqvo1zKzI_32,0.033,13.009,0
20220104_Schluss_mit_dem_Corona_Lockdown_1odqvo1zKzI_33,13.12,22.7,0
20220104_Schluss_mit_dem_Corona_Lockdown_1odqvo1zKzI_34,22.7,26.4,0
20220104_Schluss_mit_dem_Corona_Lockdown_1odqvo1zKzI_35,26.4,30.33,0
20220104_Schluss_mit_dem_Corona_Lockdown_1odqvo1zKzI_36,30.413,43.469,1
20220104_Schluss_mit_dem_Corona_Lockdown_1odqvo1zKzI_37,43.524,63.72,0
20220104_Schluss_mit_dem_Corona_Lockdown_1odqvo1zKzI_38,63.74,118.17,1
20220118_Corona_Zahlen_in_Deutschland_Diese_pDeXHOhVXz0_39,0.06,135.723,0
20220113_New_York_pfeift_auf_die_Mfh22Av5-jI_40,0.06,19.098,0
20220113_New_York_pfeift_auf_die_Mfh22Av5-jI_41,19.098,38.44,0
20220113_New_York_pfeift_auf_die_Mfh22Av5-jI_42,38.473,60.547,0
20220113_New_York_pfeift_auf_die_Mfh22Av5-jI_43,61.461,103.95,1
20220113_New_York_pfeift_auf_die_Mfh22Av5-jI_44,103.95,123.21,2
20220113_New_York_pfeift_auf_die_Mfh22Av5-jI_45,123.21,127.76,1
20220113_New_York_pfeift_auf_die_Mfh22Av5-jI_46,127.76,143.51,2
20220113_New_York_pfeift_auf_die_Mfh22Av5-jI_47,143.51,150.42,1
20220113_New_York_pfeift_auf_die_Mfh22Av5-jI_48,150.42,180.42,0
20220113_New_York_pfeift_auf_die_Mfh22Av5-jI_49,180.42,188.813,1
20220117_Genesenen_Status_nur_noch_3_FQAeEtDCKyI_50,0.0,4.82,0
20220117_Genesenen_Status_nur_noch_3_FQAeEtDCKyI_51,4.82,14.0,0
20220117_Genesenen_Status_nur_noch_3_FQAeEtDCKyI_52,14.0,23.22,1
20220117_Genesenen_Status_nur_noch_3_FQAeEtDCKyI_53,23.23,39.46,1
20220117_Genesenen_Status_nur_noch_3_FQAeEtDCKyI_54,39.47,52.44,0
20220117_Genesenen_Status_nur_noch_3_FQAeEtDCKyI_55,52.49,98.36,3
20220117_Genesenen_Status_nur_noch_3_FQAeEtDCKyI_56,98.36,98.86,3
20220110_Das_RKI_und_die_Corona_1z9ROvAVZZk_57,0.06,12.24,0
20220110_Das_RKI_und_die_Corona_1z9ROvAVZZk_58,12.24,26.299,1
20220110_Das_RKI_und_die_Corona_1z9ROvAVZZk_59,26.369,34.248,1
20220110_Das_RKI_und_die_Corona_1z9ROvAVZZk_60,34.84,38.38,1
20220110_Das_RKI_und_die_Corona_1z9ROvAVZZk_61,38.392,51.21,1
20220110_Das_RKI_und_die_Corona_1z9ROvAVZZk_62,51.271,61.39,0
20220110_Das_RKI_und_die_Corona_1z9ROvAVZZk_63,61.485,76.893,1
20220110_Das_RKI_und_die_Corona_1z9ROvAVZZk_64,88.19,136.337,2
20220113_Schießen_wir_mit_den_Corona_-cdf-dQVgpU_65,0.0,18.52,2
20220113_Schießen_wir_mit_den_Corona_-cdf-dQVgpU_66,18.52,104.93,2
20220105_Corona_Regeln_Unsere_Freiheit_gerät_0RM8KQi3Muk_67,30.642,48.92,2
20220105_Corona_Regeln_Unsere_Freiheit_gerät_0RM8KQi3Muk_68,48.92,56.854,2
20220105_Corona_Regeln_Unsere_Freiheit_gerät_0RM8KQi3Muk_69,56.854,85.078,2
20220105_Corona_Regeln_Unsere_Freiheit_gerät_0RM8KQi3Muk_70,85.078,88.593,2
20220105_Corona_Regeln_Unsere_Freiheit_gerät_0RM8KQi3Muk_71,88.593,110.531,2
20220105_Corona_Regeln_Unsere_Freiheit_gerät_0RM8KQi3Muk_72,110.531,137.33,2
20220105_Corona_Regeln_Unsere_Freiheit_gerät_0RM8KQi3Muk_73,137.33,214.846,2
20220105_Corona_Regeln_Unsere_Freiheit_gerät_0RM8KQi3Muk_74,214.846,229.428,2
20220120_Omikron_Welle_Diese_Impfpflicht_ist_pWZDF3rJ744_75,0.06,7.38,0
20220120_Omikron_Welle_Diese_Impfpflicht_ist_pWZDF3rJ744_76,48.99,66.85,4
20220120_Omikron_Welle_Diese_Impfpflicht_ist_pWZDF3rJ744_77,66.85,75.57,0
20220120_Omikron_Welle_Diese_Impfpflicht_ist_pWZDF3rJ744_78,75.57,213.5,3
compacttv_2022_01_26_wzQkoDUGMSA_1,94.033,120.44,0
compacttv_2022_01_26_wzQkoDUGMSA_2,120.44,126.25,2
compacttv_2022_01_26_wzQkoDUGMSA_3,126.25,145.39,2
compacttv_2022_01_26_wzQkoDUGMSA_4,145.39,156.55,2
compacttv_2022_01_26_wzQkoDUGMSA_5,156.55,195.86,2
compacttv_2022_01_26_wzQkoDUGMSA_6,659.72,695.04,0
compacttv_2022_01_26_wzQkoDUGMSA_7,695.04,705.058,1
compacttv_2022_01_26_wzQkoDUGMSA_8,705.092,720.857,4
compacttv_2022_01_26_wzQkoDUGMSA_9,720.886,748.44,1
compacttv_2022_01_26_wzQkoDUGMSA_10,748.45,765.17,4
compacttv_2022_01_26_wzQkoDUGMSA_11,765.18,768.8,1
compacttv_2022_01_21_l8TwbvtsSkc_12,140.96,152.141,2
compacttv_2022_01_21_l8TwbvtsSkc_13,152.141,163.792,2
compacttv_2022_01_21_l8TwbvtsSkc_14,163.792,182.579,1
compacttv_2022_01_21_l8TwbvtsSkc_15,182.588,190.508,2
compacttv_2022_01_21_l8TwbvtsSkc_16,190.508,199.809,2
compacttv_2022_01_21_l8TwbvtsSkc_17,199.809,215.34,1
compacttv_2022_01_21_l8TwbvtsSkc_18,215.34,229.579,2
compacttv_2022_01_21_l8TwbvtsSkc_19,229.579,237.4,1
compacttv_2022_01_11__kAfWRM5wZQ_20,125.09,145.78,2
compacttv_2022_01_11__kAfWRM5wZQ_21,147.03,158.04,2
compacttv_2022_01_11__kAfWRM5wZQ_22,158.21,165.01,2
compacttv_2022_01_11__kAfWRM5wZQ_23,196.87,231.97,0
compacttv_2022_01_11__kAfWRM5wZQ_24,231.97,340.03,2
