clip_name,start_time,end_time,label_0,label_1
TV-20220113-2142-2300.webl.h264_1,163.21,185.13,0,0
TV-20220113-2142-2300.webl.h264_2,185.13,195.59,2,5
TV-20220113-2142-2300.webl.h264_3,195.59,206.25,2,5
TV-20220113-2142-2300.webl.h264_4,206.26,212.22,2,5
TV-20220113-2142-2300.webl.h264_5,212.25,221.45,2,5
TV-20220113-2142-2300.webl.h264_6,221.505,239.803,2,5
TV-20220113-2142-2300.webl.h264_7,239.803,262.45,2,3
TV-20220113-2142-2300.webl.h264_8,262.46,300.66,2,5
TV-20220113-2142-2300.webl.h264_9,300.66,317.63,1,1
TV-20230119-2021-3600.webl.h264_10,4.46,7.537,0,0
TV-20230119-2021-3600.webl.h264_11,15.117,17.657,0,0
TV-20230119-2021-3600.webl.h264_12,17.807,44.071,0,0
TV-20230119-2021-3600.webl.h264_13,45.361,57.006,1,1
TV-20230119-2021-3600.webl.h264_14,57.686,59.621,2,5
TV-20230119-2021-3600.webl.h264_15,60.358,68.955,1,1
TV-20230119-2021-3600.webl.h264_16,69.8,70.52,2,5
TV-20230119-2021-3600.webl.h264_17,70.889,83.037,1,1
TV-20230119-2021-3600.webl.h264_18,85.09,96.818,2,5
TV-20230119-2021-3600.webl.h264_19,97.321,110.976,1,1
TV-20230119-2021-3600.webl.h264_20,112.52,123.599,2,5
TV-20230119-2021-3600.webl.h264_21,124.253,139.352,1,1
TV-20230119-2021-3600.webl.h264_22,140.007,141.933,2,5
TV-20230119-2021-3600.webl.h264_23,142.26,156.391,1,1
TV-20230119-2021-3600.webl.h264_24,157.849,163.721,2,5
TV-20230119-2021-3600.webl.h264_25,164.687,177.87,1,1
TV-20230119-2021-3600.webl.h264_26,178.019,190.214,2,5
TV-20230119-2021-3600.webl.h264_27,191.26,202.093,1,1
TV-20230119-2021-3600.webl.h264_28,203.555,210.809,0,0
TV-20230119-2021-3600.webl.h264_29,212.658,259.933,1,1
TV-20230119-2021-3600.webl.h264_30,260.619,264.507,0,0
TV-20230119-2021-3600.webl.h264_31,266.759,290.588,1,1
TV-20230119-2021-3600.webl.h264_32,337.163,353.36,1,1
TV-20230119-2021-3600.webl.h264_33,353.971,360.247,2,4
TV-20230119-2021-3600.webl.h264_34,360.805,364.538,2,4
TV-20230119-2021-3600.webl.h264_35,365.247,377.409,1,1
TV-20230119-2021-3600.webl.h264_36,378.584,385.812,2,4
TV-20230119-2021-3600.webl.h264_37,386.623,399.27,1,1
TV-20230119-2021-3600.webl.h264_38,400.096,412.499,2,5
TV-20230119-2021-3600.webl.h264_39,413.234,435.914,1,1
TV-20230119-2021-3600.webl.h264_40,436.666,495.635,0,0
TV-20230119-2021-3600.webl.h264_41,497.215,507.989,1,1
TV-20230119-2021-3600.webl.h264_42,509.462,525.57,2,4
TV-20230119-2021-3600.webl.h264_43,526.056,539.391,1,1
TV-20230119-2021-3600.webl.h264_44,539.603,558.888,2,4
TV-20230119-2021-3600.webl.h264_45,559.536,568.369,1,1
TV-20230119-2021-3600.webl.h264_46,570.213,579.96,2,3
TV-20230119-2021-3600.webl.h264_47,580.321,588.34,1,1
TV-20230119-2021-3600.webl.h264_48,589.503,631.733,0,0
TV-20230119-2021-3600.webl.h264_49,633.768,656.036,1,1
TV-20230119-2021-3600.webl.h264_50,657.199,667.03,2,5
TV-20230119-2021-3600.webl.h264_51,667.109,674.242,2,5
TV-20230119-2021-3600.webl.h264_52,674.994,684.78,1,1
TV-20230119-2021-3600.webl.h264_53,685.354,699.739,2,4
TV-20230119-2021-3600.webl.h264_54,700.05,709.31,2,4
TV-20230119-2021-3600.webl.h264_55,709.311,712.223,1,1
TV-20230119-2021-3600.webl.h264_56,713.024,723.191,2,5
TV-20230119-2021-3600.webl.h264_57,723.497,732.333,1,1
TV-20230119-2021-3600.webl.h264_58,733.467,793.74,0,0
TV-20230119-2021-3600.webl.h264_59,795.228,847.391,1,1
TV-20230119-2021-3600.webl.h264_60,848.588,852.965,0,0
TV-20230119-2021-3600.webl.h264_61,854.038,900.39,1,1
TV-20230119-2021-3600.webl.h264_62,903.12,919.72,0,0
TV-20230110-2021-4400.webl.h264_63,5.376,8.468,0,0
TV-20230110-2021-4400.webl.h264_64,15.77,18.43,0,0
TV-20230110-2021-4400.webl.h264_65,18.583,45.14,0,0
TV-20230110-2021-4400.webl.h264_66,46.18,67.667,1,1
TV-20230110-2021-4400.webl.h264_67,68.813,81.01,2,4
TV-20230110-2021-4400.webl.h264_68,81.758,87.59,1,1
TV-20230110-2021-4400.webl.h264_69,88.094,106.917,2,5
TV-20230110-2021-4400.webl.h264_70,107.46,148.743,1,1
TV-20230110-2021-4400.webl.h264_71,149.865,155.945,0,0
TV-20230110-2021-4400.webl.h264_72,156.776,193.9,1,1
TV-20230110-2021-4400.webl.h264_73,194.968,222.17,0,0
TV-20230110-2021-4400.webl.h264_74,223.347,240.588,1,1
TV-20230110-2021-4400.webl.h264_75,241.87,257.777,2,3
TV-20230110-2021-4400.webl.h264_76,258.088,261.742,1,1
TV-20230110-2021-4400.webl.h264_77,262.412,275.491,2,3
TV-20230110-2021-4400.webl.h264_78,276.087,286.251,1,1
TV-20230110-2021-4400.webl.h264_79,286.68,300.73,2,3
TV-20230110-2021-4400.webl.h264_80,300.902,313.172,1,1
TV-20230110-2021-4400.webl.h264_81,313.981,340.963,0,0
TV-20230110-2021-4400.webl.h264_82,342.418,349.73,1,1
TV-20230110-2021-4400.webl.h264_83,350.925,372.074,2,5
TV-20230110-2021-4400.webl.h264_84,372.459,395.107,1,1
TV-20230110-2021-4400.webl.h264_85,396.229,405.49,2,3
TV-20230110-2021-4400.webl.h264_86,405.873,421.702,2,3
TV-20230110-2021-4400.webl.h264_87,421.818,429.637,1,1
TV-20230110-2021-4400.webl.h264_88,430.633,453.69,0,0
TV-20230110-2021-4400.webl.h264_89,455.07,475.441,1,1
TV-20230110-2021-4400.webl.h264_90,476.809,490.059,2,3
TV-20230110-2021-4400.webl.h264_91,490.509,505.449,1,1
TV-20230110-2021-4400.webl.h264_92,505.657,520.25,2,3
TV-20230110-2021-4400.webl.h264_93,520.359,526.609,1,1
TV-20230110-2021-4400.webl.h264_94,527.203,540.28,2,5
TV-20230110-2021-4400.webl.h264_95,540.738,552.443,1,1
TV-20230110-2021-4400.webl.h264_96,553.131,582.51,0,0
TV-20230110-2021-4400.webl.h264_97,583.805,599.278,1,1
TV-20230110-2021-4400.webl.h264_98,600.338,611.71,2,4
TV-20230110-2021-4400.webl.h264_99,612.243,629.129,1,1
TV-20230110-2021-4400.webl.h264_100,630.316,644.107,2,5
TV-20230110-2021-4400.webl.h264_101,645.184,675.387,1,1
TV-20230110-2021-4400.webl.h264_102,676.324,697.654,0,0
TV-20230110-2021-4400.webl.h264_103,698.604,715.313,1,1
TV-20230110-2021-4400.webl.h264_104,716.146,720.859,2,2
TV-20230110-2021-4400.webl.h264_105,721.739,751.13,1,1
TV-20230110-2021-4400.webl.h264_106,751.671,761.656,2,5
TV-20230110-2021-4400.webl.h264_107,762.191,773.559,1,1
TV-20230110-2021-4400.webl.h264_108,775.285,795.022,0,0
TV-20230110-2021-4400.webl.h264_109,795.86,832.1,1,1
TV-20230110-2021-4400.webl.h264_110,832.36,848.67,2,5
TV-20230110-2021-4400.webl.h264_111,849.309,853.199,1,1
TV-20230110-2021-4400.webl.h264_112,854.033,872.726,1,1
TV-20230110-2021-4400.webl.h264_113,873.233,877.482,1,1
TV-20230110-2021-4400.webl.h264_114,878.999,882.445,0,0
TV-20230110-2021-4400.webl.h264_115,883.562,929.12,1,1
TV-20230110-2021-4400.webl.h264_116,930.919,948.504,0,0
TV-20220110-2020-5400.webl.h264_117,417.4,442.72,0,0
TV-20220110-2020-5400.webl.h264_118,442.72,467.99,1,1
TV-20220110-2020-5400.webl.h264_119,468.0,478.91,2,4
TV-20220110-2020-5400.webl.h264_120,478.91,492.38,2,4
TV-20220110-2020-5400.webl.h264_121,492.38,517.89,1,1
TV-20220110-2020-5400.webl.h264_122,517.9,542.87,2,5
TV-20220110-2020-5400.webl.h264_123,542.87,550.24,1,1
TV-20220110-2020-5400.webl.h264_124,550.24,558.02,2,5
TV-20220110-2020-5400.webl.h264_125,558.02,566.46,1,1
TV-20220110-2020-5400.webl.h264_126,566.46,584.32,0,0
TV-20230107-2020-5800.webl.h264_127,4.585,7.674,0,0
TV-20230107-2020-5800.webl.h264_128,15.419,17.867,0,0
TV-20230107-2020-5800.webl.h264_129,18.128,47.859,0,0
TV-20230107-2020-5800.webl.h264_130,48.81,54.318,2,5
TV-20230107-2020-5800.webl.h264_131,55.011,104.56,1,1
TV-20230107-2020-5800.webl.h264_132,105.166,122.57,2,5
TV-20230107-2020-5800.webl.h264_133,123.31,149.605,1,1
TV-20230107-2020-5800.webl.h264_134,150.545,172.328,0,0
TV-20230107-2020-5800.webl.h264_135,173.08,213.89,1,1
TV-20230107-2020-5800.webl.h264_136,214.395,229.443,2,5
TV-20230107-2020-5800.webl.h264_137,229.863,236.54,1,1
TV-20230107-2020-5800.webl.h264_138,236.701,252.213,2,5
TV-20230107-2020-5800.webl.h264_139,252.746,264.721,1,1
TV-20230107-2020-5800.webl.h264_140,265.925,289.369,0,0
TV-20230107-2020-5800.webl.h264_141,290.693,310.35,1,1
TV-20230107-2020-5800.webl.h264_142,311.091,324.677,2,5
TV-20230107-2020-5800.webl.h264_143,325.224,334.049,1,1
TV-20230107-2020-5800.webl.h264_144,334.55,347.786,2,5
TV-20230107-2020-5800.webl.h264_145,349.164,364.504,1,1
TV-20230107-2020-5800.webl.h264_146,365.278,378.864,2,3
TV-20230107-2020-5800.webl.h264_147,379.196,394.178,1,1
TV-20230107-2020-5800.webl.h264_148,395.191,553.0,0,0
TV-20230107-2020-5800.webl.h264_149,554.712,568.78,1,1
TV-20230107-2020-5800.webl.h264_150,569.253,580.042,2,4
TV-20230107-2020-5800.webl.h264_151,580.376,609.289,1,1
TV-20230107-2020-5800.webl.h264_152,611.459,634.414,2,4
TV-20230107-2020-5800.webl.h264_153,635.572,656.206,1,1
TV-20230107-2020-5800.webl.h264_154,657.369,684.553,0,0
TV-20230107-2020-5800.webl.h264_155,686.151,698.793,1,1
TV-20230107-2020-5800.webl.h264_156,699.827,716.07,2,5
TV-20230107-2020-5800.webl.h264_157,717.67,729.919,1,1
TV-20230107-2020-5800.webl.h264_158,730.789,744.605,2,3
TV-20230107-2020-5800.webl.h264_159,745.974,766.757,1,1
TV-20230107-2020-5800.webl.h264_160,767.888,780.561,0,0
TV-20230107-2020-5800.webl.h264_161,781.84,816.18,1,1
TV-20230107-2020-5800.webl.h264_162,842.39,887.36,1,1
TV-20220103-2020-2800.webl.h264_163,16.17,50.67,0,0
TV-20220103-2020-2800.webl.h264_164,50.704,72.36,1,1
TV-20220103-2020-2800.webl.h264_165,74.48,84.58,2,3
TV-20220103-2020-2800.webl.h264_166,84.79,105.21,1,1
TV-20220103-2020-2800.webl.h264_167,105.21,110.29,2,4
TV-20220103-2020-2800.webl.h264_168,110.29,115.601,2,4
TV-20220103-2020-2800.webl.h264_169,115.73,137.535,1,1
